DISTRICTWISE Ground water Level (in m.) Report (<ALL AGENCIES> - <2012> to <2020>),,,,,,,,,,
,,2012,2013,2014,2015,2016,2017,2018,2019,2020
STATE,DISTRICT,Level (m),Level (m),Level (m),Level (m),Level (m),Level (m),Level (m),Level (m),Level (m)
MADHYA PRADESH,JHABUA,10.4,12.56,9.64,9.16,9.3,10.28,9.79,3.6,-
JAMMU & KASHMIR,JAMMU,7.47,5.98,5.49,6.99,6.95,7.33,6.96,2.42,-
BIHAR,DARBHANGA,4.29,4.48,4.44,5.59,3.93,4.19,5.27,2.91,-
BIHAR,SHEOHAR,3.67,3.44,2.76,5.68,4.04,3.98,5.99,2.19,-
MIZORAM,LUNGLEI,-,-,-,-,-,-,-,-,-
MADHYA PRADESH,MORENA,16.5,13.66,16.98,19.05,16.64,17.56,17.31,3.82,-
GUJARAT,NARMADA,10.68,10.54,11.19,10.69,10.02,11.49,10.85,6.53,-
RAJASTHAN,ALWAR,25.34,26.67,28.89,29.76,33.61,33.05,36.79,32.76,-
ASSAM,SONITPUR,4.05,4.39,4.4,4.26,4.62,4.39,4.19,3.19,-
TAMILNADU,CUDDALORE,7.28,18.96,13.34,10.1,17.69,35.57,18.78,15.84,-
CHHATTISGARH,JANJGIR-CHAMPA,5.42,7.34,10.37,7.97,5.81,8.67,7.95,3.56,-
ODISHA,GANJAM,5.08,4.16,4.29,4.05,5.06,4.1,3.15,2.2,-
ASSAM,TINSUKIA,4.18,3.13,2,3.26,2.77,2.27,2.82,2.22,-
ANDHRA PRADESH,ANANTAPUR,17,17.53,22.48,18.89,25.53,16.73,22.76,18.97,22.18
ANDHRA PRADESH,KURNOOL,11.77,9.06,10.77,15.07,13.54,9.62,12.83,9.75,9.3
ODISHA,PURI,4.21,4.16,3.75,4.34,4.24,3.51,3.26,1.72,-
GUJARAT,VADODARA,14.77,12.79,13.83,13.91,14.38,13.92,16.02,10.51,-
MIZORAM,MAMIT,-,-,-,-,-,-,-,-,-
MEGHALAYA,WEST GARO HILLS,3.95,4.24,4.04,4.02,4.09,3.91,4.53,2.63,-
NAGALAND,PHEK,5.75,8.79,4.59,5.07,2.83,-,-,-,-
WEST BENGAL,KOCH BIHAR,3.62,4.08,3.2,3.66,3.38,2.63,2.48,2.63,-
MAHARASHTRA,BHANDARA,9.11,7.4,8.26,9.73,9.93,9.8,9.78,5.03,-
WEST BENGAL,MURSHIDABAD,10.43,10.48,9.34,9.54,8.53,8.46,8.71,3.6,-
TAMILNADU,TIRUVANNAMALAI,7.84,9.93,13.77,14.14,9.55,7.19,8.82,4.97,-
DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,4.68,6.86,8.44,8.87,8.45,8.17,10.31,2.91,-
BIHAR,BHAGALPUR,6.66,6.11,6.27,6.95,7.72,6.63,6.99,3.16,-
GUJARAT,AMRELI,14.19,14.82,14.01,15.15,14.34,16.06,15.69,7.23,-
RAJASTHAN,NAGAUR,38.42,38.06,36.63,35.66,36.07,47.84,48,40.56,-
GOA,SOUTH GOA,7.22,7.14,6.35,7.07,5.86,6.7,6.13,4.77,-
MAHARASHTRA,CHANDRAPUR,7.56,6.93,7.65,7.36,6.93,7.75,8.66,3.88,-
LAKSHDWEEP,LAKSHADWEEP,-,-,-,-,-,-,-,-,-
UTTAR PRADESH,ALIGARH,7.42,6.81,7.32,7.41,7.96,9.42,13.13,16.75,19.98
MANIPUR,UKHRUL,-,-,-,-,-,-,-,-,-
TAMILNADU,TIRUCHIRAPPALLI,9.9,9.14,13.67,12.39,10.76,9.25,10.76,7.1,-
ODISHA,NUAPADA,5.48,4.92,5.28,5.77,5.99,4.93,4.85,3.14,-
MADHYA PRADESH,RAJGARH,12.77,11.67,11.57,13.05,10.74,12.69,13.42,3.57,-
UTTAR PRADESH,BAHRAICH,4.87,5.99,4.92,4.82,4.53,4.57,4.5,12.86,20.43
UTTAR PRADESH,GORAKHPUR,4.82,4.65,4.14,5.88,5.65,5.57,5.5,11.33,7.77
ASSAM,DHUBRI,8.3,8.08,7.95,9.81,6.82,10.44,8.25,8.21,-
RAJASTHAN,AJMER,9.98,11.01,8.58,11.13,9.16,10.68,12.24,5.09,-
RAJASTHAN,JHUNJHUNUN,55.17,49.33,55.26,60.5,59.81,62.08,57.24,57.8,-
JHARKHAND,DHANBAD,6.89,7.08,4.86,6.48,6.85,6.65,6.37,3.03,-
UTTAR PRADESH,ETAWAH,10.59,12.58,11.41,11.74,11.83,13.59,16.33,24.89,20.42
MAHARASHTRA,PUNE,7.05,5.88,6.1,7.3,6.87,6.36,7.68,6.74,-
SIKKIM,EAST,-,-,-,-,-,-,-,-,-
NAGALAND,WOKHA,6.75,8.37,4.67,6.04,3.93,-,-,-,-
PUNJAB,SHAHID BHAGAT SINGH NAGAR,17.15,16.11,15.99,18.33,20.33,21.07,19.02,17.55,-
MADHYA PRADESH,BHOPAL,11.93,11.64,11.11,8.82,12.53,13.13,12.09,3.58,-
UTTAR PRADESH,JHANSI,7.02,6.07,5.91,7.34,7.66,8.23,7.25,28.83,23.13
KARNATAKA,BELLARY,10.69,9.19,8.67,6.72,8.32,9.86,10.78,4.39,-
PUNJAB,BATHINDA,12.89,12.66,13.38,13.93,15.28,15.63,16.47,17.48,-
RAJASTHAN,PALI,13.52,14.2,11.96,12.95,9.74,10.35,12.15,6.92,-
ASSAM,JORHAT,2.99,3.32,2.72,2.53,3.38,2.34,2.73,1.46,-
MAHARASHTRA,OSMANABAD,11,10,9.11,10.63,10.49,8.12,11.2,3.64,-
ARUNACHAL PRADESH,EAST SIANG,4.16,7.71,7.72,7.55,8.82,9.15,5.25,5.79,-
JAMMU & KASHMIR,KATHUA,5.56,5.28,4.5,5.44,5.36,6.93,6.34,1.18,-
ODISHA,MALKANGIRI,3.78,4.66,4.85,4.34,5.26,5.2,4.81,1.83,-
ASSAM,KARBI ANGLONG,3.98,4.34,5.14,6.17,5.66,5.52,5.06,3.06,-
DAMAN & DIU,DIU,8.34,9.55,5.36,6.3,5.86,6.87,5.91,4.84,-
ODISHA,JAGATSINGHAPUR,3.37,3.37,2.77,3.4,2.81,3,2.84,1.58,-
