LOC_CODE,DTNAME,AREA,RES_HOUSE,HOUSEHOLDS,T_POPLN,T_M_POPLN,T_F_POPLN,POPLN_M6,POPLN_F6,M_SC,F_SC,M_ST,F_ST,M_LITERATE,F_LITERATE,T_M_WORKER,T_F_WORKER,M_INDCAT1,F_INDCAT1,M_INDCAT2,F_INDCAT2,M_INDCAT3,F_INDCAT3,M_INDCAT4,F_INDCAT4,M_INDCAT5A,F_INDCAT5A,M_INDCAT5B,F_INDCAT5B,M_INDCAT6,F_INDCAT6,M_INDCAT7,F_INDCAT7,M_INDCAT8,F_INDCAT8,M_INDCAT9,F_INDCAT9,M_MARGINAL,F_MARGINAL,M_NON_WORK,F_NON_WORK
2601,KOCH BIHAR,30.01,32012,32367,169497,86888,82609,10760,10293,16364,16262,328,285,62907,51740,40752,6658,1429,79,1355,177,697,29,4,2,915,319,5307,973,1186,28,13221,308,4796,87,11842,4656,291,456,45845,75495
2602,JALPAIGURI,157.19,87848,88841,458247,239045,219202,32808,31843,59338,55506,5135,4075,161163,118575,118415,15422,6392,331,6187,1334,3049,285,105,1,1970,736,16989,926,6567,545,34289,941,17350,329,25517,9994,555,806,120075,202974
2603,DARJILING,69.28,70742,72605,396060,211999,184061,23998,23452,24225,21664,10382,10053,153782,114005,100946,16042,1115,167,1287,396,2317,828,40,2,913,216,11839,656,5387,440,33811,2110,14509,416,29728,10811,647,330,110406,167689
2604,WEST DINAJPUR,60.65,67930,70852,417200,219710,197490,29444,28494,33311,29704,3353,3111,156161,119051,97992,11890,9972,332,6163,1501,2605,79,39,0,1720,878,12373,997,3220,95,31362,455,9806,89,20732,7464,503,959,121215,184641
2605,MALDAH,20.76,35834,36062,186537,96958,89579,14966,14075,13206,12415,823,696,65440,49706,45009,5513,1191,84,1025,176,1954,115,39,0,1119,395,7042,563,2325,53,12031,387,6498,67,11785,3673,194,139,51755,83927
2606,MURSHIDABAD,106.66,90561,90921,494347,252392,241955,43766,42068,42282,40473,926,784,144197,104187,119180,34807,5795,154,8744,562,4275,186,66,0,17678,22723,14467,3155,9159,236,29432,787,8298,85,21266,6919,986,4992,132226,202156
2607,NADIA,224.78,163364,166286,871818,445116,426702,59296,56063,101321,96226,5400,5235,311126,245090,215919,30030,9519,218,15830,1259,4912,432,246,6,27358,7565,46178,7418,6418,89,49594,1231,15702,178,40162,11634,1198,4612,227999,392060
2608,NORTH 24 PARAGANAS,435.89,711628,720408,3730300,1985148,1745152,216116,205539,251379,225322,10656,9031,1484689,1111930,958442,91015,10388,305,24260,1728,10847,431,1323,49,9375,4029,366892,16854,41551,1310,233369,7756,92210,2567,168227,55986,4918,3057,1021788,1651080
2609,SOUTH 24 PARAGANAS,163.68,147622,147859,760377,405191,355186,52831,50221,69994,63459,1373,1210,279291,194083,189902,12739,4398,192,13743,609,1597,70,461,10,14675,1150,65211,2095,5306,132,32529,1074,17955,389,34027,7018,2779,1060,212510,341387
2610,CALCUTTA,185.39,848085,857109,4399819,2445328,1954491,215499,205695,159731,123871,5083,3510,1827195,1260703,1311642,133326,1979,123,2780,248,7073,325,2653,135,6242,772,361898,14030,47653,1376,415447,13450,160232,4326,305685,98541,5512,1823,1128174,1819342
2611,HOWRAH,215.02,355015,358107,1849114,1013552,835562,119113,114872,92105,81630,3279,2687,712041,478624,524383,28419,6038,294,17462,481,4154,141,341,10,16461,1549,223474,5351,13433,369,114679,2860,51706,955,76635,16409,2312,1124,486857,806019
2612,HUGLI,171.51,270700,272591,1358251,731176,627075,80693,76646,94059,82798,4762,4366,530595,383973,359945,30732,4658,93,8955,1841,4394,154,465,17,4691,758,154219,5629,15662,390,80274,2638,31249,713,55378,18499,1340,1320,369891,595023
2613,MEDINIPUR,360.24,146747,150731,820995,431152,389843,59118,56057,57280,54691,9975,9444,319445,234035,200602,23575,15351,1147,18772,3219,3293,383,104,3,2628,993,27929,1232,7527,354,42986,2270,30753,1229,51259,12745,4158,7217,226392,359051
2614,BANKURA,77.73,41693,41871,232478,119999,112479,16179,15575,29297,28251,1039,864,86530,61403,57023,8148,2015,165,3192,1090,1658,77,120,15,3541,1173,9323,1003,2589,255,15348,639,6544,90,12693,3641,390,789,62586,103542
2615,PURULIYA,69.79,36269,36832,210006,110599,99407,16674,15811,23027,21856,2219,2132,76739,48562,49650,4946,1952,285,1799,576,1055,74,1187,51,1090,195,9218,316,986,64,12845,387,8020,134,11498,2864,372,1682,60577,92779
2616,BARDDHAMAN,660.79,411984,417963,2122992,1154991,968001,153328,145818,213276,185887,36543,33351,783227,509117,521987,40795,15968,1000,25787,5935,5479,211,83246,4161,7926,2123,133998,5336,15914,671,97565,2101,47966,630,88138,18627,4433,4658,628571,922548
2617,BIRBHUM,60.39,42885,43494,229563,119179,110384,17388,17506,28048,26948,2120,2082,77046,54204,55691,6443,2846,145,4304,854,1024,67,328,5,1201,401,8466,906,2047,77,15066,371,6468,37,13941,3580,384,759,63104,103182
