state,district,station,category
andaman & nicobar is,n & m andaman,porlob island,safe
andaman & nicobar is,n & m andaman,north passage island,safe
andaman & nicobar is,n & m andaman,interview island,safe
andaman & nicobar is,n & m andaman,stewart island,safe
andaman & nicobar is,n & m andaman,narcondam island,safe
andaman & nicobar is,n & m andaman,strait island,safe
andaman & nicobar is,n & m andaman,aves island,safe
andaman & nicobar is,n & m andaman,baratang island,safe
andaman & nicobar is,n & m andaman,long island,safe
andaman & nicobar is,n & m andaman,smith island,safe
andaman & nicobar is,n & m andaman,north andaman,safe
andaman & nicobar is,n & m andaman,middle andaman,safe
andaman & nicobar is,n & m andaman,east island,saline
andaman & nicobar is,nicobar,bampooka island,safe
andaman & nicobar is,nicobar,kondul island,safe
andaman & nicobar is,nicobar,trinket island,safe
andaman & nicobar is,nicobar,tillangchang island,safe
andaman & nicobar is,nicobar,little nicobar island,safe
andaman & nicobar is,nicobar,great nicobar island,safe
andaman & nicobar is,nicobar,pulo milo island,safe
andaman & nicobar is,nicobar,katchal island,safe
andaman & nicobar is,nicobar,car nicobar island,safe
andaman & nicobar is,nicobar,kamorta island,safe
andaman & nicobar is,nicobar,nancowrie island,safe
andaman & nicobar is,nicobar,chowra island,safe
andaman & nicobar is,nicobar,teressa island,safe
andaman & nicobar is,south andaman,john lawrence island,safe
andaman & nicobar is,south andaman,peel island,safe
andaman & nicobar is,south andaman,viper island,safe
andaman & nicobar is,south andaman,flatbay island,safe
andaman & nicobar is,south andaman,north sentinnel island,safe
andaman & nicobar is,south andaman,rutland island,safe
andaman & nicobar is,south andaman,little andaman,safe
andaman & nicobar is,south andaman,havelock island,safe
andaman & nicobar is,south andaman,neil island,safe
andaman & nicobar is,south andaman,south andaman,safe
andhra pradesh,anantapur,agali,over_exploited
andhra pradesh,anantapur,amadagur,over_exploited
andhra pradesh,anantapur,amarapuram,over_exploited
andhra pradesh,anantapur,anantapur mandal,safe
andhra pradesh,anantapur,atmakur,semi-critical
andhra pradesh,anantapur,bathalapalle,safe
andhra pradesh,anantapur,beluguppa,safe
andhra pradesh,anantapur,bommanahal,safe
andhra pradesh,anantapur,brahmasamudram,critical
andhra pradesh,anantapur,bukkapatnam,safe
andhra pradesh,anantapur,bukkarayasamudram,safe
andhra pradesh,anantapur,chenne kothapalle,safe
andhra pradesh,anantapur,chilamathur,over_exploited
andhra pradesh,anantapur,d hirchal,safe
andhra pradesh,anantapur,dharmavaram,safe
andhra pradesh,anantapur,garladinne,safe
andhra pradesh,anantapur,gooty,safe
andhra pradesh,anantapur,gorantla,over_exploited
andhra pradesh,anantapur,gudibanda,over_exploited
andhra pradesh,anantapur,gummagatta,safe
andhra pradesh,anantapur,guntakal,safe
andhra pradesh,anantapur,hindupur,over_exploited
andhra pradesh,anantapur,kadiri,safe
andhra pradesh,anantapur,kalyandurg,safe
andhra pradesh,anantapur,kambadur,critical
andhra pradesh,anantapur,kanaganapalle,safe
andhra pradesh,anantapur,kanekal,safe
andhra pradesh,anantapur,kothacheruvu,over_exploited
andhra pradesh,anantapur,kudair,semi-critical
andhra pradesh,anantapur,kundurpi,semi-critical
andhra pradesh,anantapur,lepakshi,semi-critical
andhra pradesh,anantapur,madakasira,over_exploited
andhra pradesh,anantapur,mudigubba,semi-critical
andhra pradesh,anantapur,nallacheruvu,critical
andhra pradesh,anantapur,nallamada,over_exploited
andhra pradesh,anantapur,nambulipulikunta,safe
andhra pradesh,anantapur,narpala,safe
andhra pradesh,anantapur,obuladevaracheruvu,critical
andhra pradesh,anantapur,pamidi,safe
andhra pradesh,anantapur,parigi,over_exploited
andhra pradesh,anantapur,peddapappur,safe
andhra pradesh,anantapur,peddavadugur,safe
andhra pradesh,anantapur,penu konda,safe
andhra pradesh,anantapur,putlur,over_exploited
andhra pradesh,anantapur,puttaparthi,critical
andhra pradesh,anantapur,ramagiri,safe
andhra pradesh,anantapur,raptadu,safe
andhra pradesh,anantapur,rayadurg,safe
andhra pradesh,anantapur,roddam,over_exploited
andhra pradesh,anantapur,rolla,over_exploited
andhra pradesh,anantapur,settur,over_exploited
andhra pradesh,anantapur,singanamala,safe
andhra pradesh,anantapur,somandepalle,semi-critical
andhra pradesh,anantapur,tadimarri,semi-critical
andhra pradesh,anantapur,tadpatri,over_exploited
andhra pradesh,anantapur,talupula,over_exploited
andhra pradesh,anantapur,tanakal,over_exploited
andhra pradesh,anantapur,uravakonda,safe
andhra pradesh,anantapur,vajrakarur,safe
andhra pradesh,anantapur,vidapanakal,safe
andhra pradesh,anantapur,yadiki,over_exploited
andhra pradesh,anantapur,yellanur,over_exploited
andhra pradesh,chittoor,b kothakota,safe
andhra pradesh,chittoor,baireddi palle,semi-critical
andhra pradesh,chittoor,bangarupalem,safe
andhra pradesh,chittoor,buchinaidu khandri,safe
