state,district,block,category,cat_val
andaman & nicobar,n & m andaman,porlob island,safe,0
andaman & nicobar,n & m andaman,north passage island,safe,0
andaman & nicobar,n & m andaman,interview island,safe,0
andaman & nicobar,n & m andaman,stewart island,safe,0
andaman & nicobar,n & m andaman,narcondam island,safe,0
andaman & nicobar,n & m andaman,strait island,safe,0
andaman & nicobar,n & m andaman,aves island,safe,0
andaman & nicobar,n & m andaman,baratang island,safe,0
andaman & nicobar,n & m andaman,long island,safe,0
andaman & nicobar,n & m andaman,smith island,safe,0
andaman & nicobar,n & m andaman,north andaman,safe,0
andaman & nicobar,n & m andaman,middle andaman,safe,0
andaman & nicobar,n & m andaman,east island,saline,1
andaman & nicobar,nicobar,bampooka island,safe,0
andaman & nicobar,nicobar,kondul island,safe,0
andaman & nicobar,nicobar,trinket island,safe,0
andaman & nicobar,nicobar,tillangchang island,safe,0
andaman & nicobar,nicobar,little nicobar island,safe,0
andaman & nicobar,nicobar,great nicobar island,safe,0
andaman & nicobar,nicobar,pulo milo island,safe,0
andaman & nicobar,nicobar,katchal island,safe,0
andaman & nicobar,nicobar,car nicobar island,safe,0
andaman & nicobar,nicobar,kamorta island,safe,0
andaman & nicobar,nicobar,nancowrie island,safe,0
andaman & nicobar,nicobar,chowra island,safe,0
andaman & nicobar,nicobar,teressa island,safe,0
andaman & nicobar,south andaman,john lawrence island,safe,0
andaman & nicobar,south andaman,peel island,safe,0
andaman & nicobar,south andaman,viper island,safe,0
andaman & nicobar,south andaman,flatbay island,safe,0
andaman & nicobar,south andaman,north sentinnel island,safe,0
andaman & nicobar,south andaman,rutland island,safe,0
andaman & nicobar,south andaman,little andaman,safe,0
andaman & nicobar,south andaman,havelock island,safe,0
andaman & nicobar,south andaman,neil island,safe,0
andaman & nicobar,south andaman,south andaman,safe,0
andhra pradesh,anantapur,agali,over-expoilted,2
andhra pradesh,anantapur,amadagur,over-expoilted,2
andhra pradesh,anantapur,amarapuram,over-expoilted,2
andhra pradesh,anantapur,anantapur mandal,safe,0
andhra pradesh,anantapur,atmakur,semi-critical,3
andhra pradesh,anantapur,bathalapalle,safe,0
andhra pradesh,anantapur,beluguppa,safe,0
andhra pradesh,anantapur,bommanahal,safe,0
andhra pradesh,anantapur,brahmasamudram,critical,4
andhra pradesh,anantapur,bukkapatnam,safe,0
andhra pradesh,anantapur,bukkarayasamudram,safe,0
andhra pradesh,anantapur,chenne kothapalle,safe,0
andhra pradesh,anantapur,chilamathur,over-expoilted,2
andhra pradesh,anantapur,d hirchal,safe,0
andhra pradesh,anantapur,dharmavaram,safe,0
andhra pradesh,anantapur,garladinne,safe,0
andhra pradesh,anantapur,gooty,safe,0
andhra pradesh,anantapur,gorantla,over-expoilted,2
andhra pradesh,anantapur,gudibanda,over-expoilted,2
andhra pradesh,anantapur,gummagatta,safe,0
