district,state
arvalli,gujarat
banaskantha,gujarat
bhabhua,bihar
bolangir,odisha
bulandshahar,uttar pradesh
chamrajnagara,karnataka
charki dadri,haryana
chhota udepur,gujarat
chikballapur,karnataka
dakshin kannada,karnataka
dantewara,chhattisgarh
davangere,karnataka
kamrup metro,assam
kasargod,kerala
komarambhem_asifabad,telangana
kushi nagar,uttar pradesh
lakhimpur kheri,uttar pradesh
morigaon,assam
nawanshahar,punjab
non revenue unit,delhi
palamau,jharkhand
panchmahal,gujarat
peramabalur,tamilnadu
raibareli,uttar pradesh
sabarkantha,gujarat
saraikela - kharsawan,jharkhand
sheihkpura,bihar
thiruvannamalai,tamilnadu
tiruvarur,tamilnadu
tuenchung,nagaland
unakoti,tripura
uttar kannada,karnataka
villupuram,tamilnadu
viruthunagar,tamilnadu
yadadri_bhongiri,telangana
