file-name,longitude,latitude,elevation,country,state,district
214841,84.0625,21.3876991271973,174.0,India,Odisha,Sambalpur
217738,73.75,21.6998996734619,361.0,India,Gujarat,Narmada
223866,86.5625,22.324399948120107,137.0,India,Jharkhand,East Singhbhum
236884,88.4375,23.573299407959,15.0,India,West Bengal,Nadia
245744,74.375,24.510000228881804,466.0,India,Rajasthan,Chittaurgarh
233859,85.9375,23.260999679565398,307.0,India,West Bengal,Purulia
183731,73.125,18.265399932861303,105.0,India,Maharashtra,Raigad
180803,80.3125,17.953199386596697,249.0,India,Telangana,Khammam
142791,79.0625,14.206399917602502,192.0,India,Andhra Pradesh,YSR District
245931,93.125,24.510000228881804,342.0,India,Manipur,Churachandpur
176759,75.9375,17.6408996582031,460.0,India,Maharashtra,Solapur
251753,75.3125,25.1343994140625,514.0,India,Rajasthan,Bhilwara
276953,95.3125,27.632299423217802,108.0,India,Assam,Tinsukia
261797,79.6875,26.071100234985398,131.0,India,Uttar Pradesh,Jalaun
176744,74.375,17.6408996582031,745.0,India,Maharashtra,Satara
201863,86.25,20.1387996673584,7.0,India,Odisha,Jagatsinghpur
264778,77.8125,26.38330078125,185.0,India,Madhya Pradesh,Morena
220847,84.6875,22.0121002197266,422.0,India,Odisha,Sundargarh
289763,76.25,28.881200790405305,208.0,India,Haryana,Bhiwani
186841,84.0625,18.577600479126,64.0,India,Andhra Pradesh,Srikakulam
261816,81.5625,26.071100234985398,105.0,India,Uttar Pradesh,Amethi
304775,77.5,30.4423007965088,551.0,India,Himachal Pradesh,Sirmaur
304766,76.5625,30.4423007965088,254.0,India,Punjab,Patiala
180809,80.9375,17.953199386596697,81.0,India,Telangana,Khammam
214853,85.3125,21.3876991271973,154.0,India,Odisha,Angul
229875,87.5,22.9487991333008,34.0,India,West Bengal,Bankura
242750,75.0,24.1977005004883,463.0,India,Madhya Pradesh,Mandsaur
279884,88.4375,27.944499969482397,5029.0,India,Sikkim,North Sikkim
283722,72.1875,28.256700515747102,122.0,India,Rajasthan,Bikaner
183763,76.25,18.265399932861303,652.0,India,Maharashtra,Osmanabad
254925,92.5,25.4466991424561,919.0,India,Meghalaya,East Jaintia Hills
264719,71.875,26.38330078125,218.0,India,Rajasthan,Jaisalmer
242703,70.3125,24.1977005004883,1.0,India,Gujarat,Kutch
201828,82.8125,20.1387996673584,288.0,India,Odisha,Nuapada
223731,73.125,22.324399948120107,120.0,India,Gujarat,Vadodara
314788,78.75,31.378999710082997,5551.0,India,Himachal Pradesh,Kinnaur
176741,74.0625,17.6408996582031,684.0,India,Maharashtra,Satara
270794,79.375,27.007799148559602,151.0,India,Uttar Pradesh,Mainpuri
142747,74.6875,14.206399917602502,49.0,India,Karnataka,Uttara Kannada
273706,70.625,27.3199996948242,178.0,India,Rajasthan,Jaisalmer
242828,82.8125,24.1977005004883,257.0,India,Uttar Pradesh,Sonbhadra
192800,80.0,19.202100753784197,235.0,India,Maharashtra,Gadchiroli
217822,82.1875,21.6998996734619,248.0,India,Chhattisgarh,Baloda Bazar
283806,80.625,28.256700515747102,146.0,India,Uttar Pradesh,Lakhimpur Kheri
217791,79.0625,21.6998996734619,467.0,India,Madhya Pradesh,Chhindwara
304747,74.6875,30.4423007965088,188.0,India,Punjab,Sri Muktsar Sahib
217781,78.125,21.6998996734619,656.0,India,Madhya Pradesh,Betul
273947,94.6875,27.3199996948242,99.0,India,Assam,Dibrugarh
226741,74.0625,22.636600494384798,243.0,India,Gujarat,Dahod
186741,74.0625,18.577600479126,581.0,India,Maharashtra,Pune
205763,76.25,20.451000213623,592.0,India,Maharashtra,Buldhana
239841,84.0625,23.8854999542236,303.0,India,Jharkhand,Palamu
261934,93.4375,26.071100234985398,758.0,India,Assam,Karbi Anglong
198731,73.125,19.8264999389648,117.0,India,Maharashtra,Palghar
311750,75.0,31.0667991638184,203.0,India,Punjab,Ferozepur
201844,84.375,20.1387996673584,646.0,India,Odisha,Kandhamal
229769,76.875,22.9487991333008,487.0,India,Madhya Pradesh,Sehore
292775,77.5,29.1933994293213,217.0,India,Uttar Pradesh,Bagpat
283766,76.5625,28.256700515747102,234.0,India,Haryana,Rewari
292784,78.4375,29.1933994293213,209.0,India,Uttar Pradesh,Bijnor
276800,80.0,27.632299423217802,141.0,India,Uttar Pradesh,Hardoi
101791,79.0625,10.147399902343805,25.0,India,Tamil Nadu,Pudukkottai
176788,78.75,17.6408996582031,563.0,India,Telangana,Nalgonda
226781,78.125,22.636600494384798,396.0,India,Madhya Pradesh,Hoshangabad
245850,85.0,24.510000228881804,158.0,India,Bihar,Gaya
239703,70.3125,23.8854999542236,125.0,India,Gujarat,Kutch
211847,84.6875,21.0753993988037,505.0,India,Odisha,Angul
242816,81.5625,24.1977005004883,312.0,India,Madhya Pradesh,Sidhi
311784,78.4375,31.0667991638184,4144.0,India,Uttarakhand,Uttarkashi
251828,82.8125,25.1343994140625,83.0,India,Uttar Pradesh,Mirzapur
301788,78.75,30.1301002502441,1461.0,India,Uttarakhand,Pauri Garhwal
158797,79.6875,15.7676000595093,93.0,India,Andhra Pradesh,Prakasam
304784,78.4375,30.4423007965088,762.0,India,Uttarakhand,Tehri Garhwal
248731,73.125,24.8222007751465,442.0,India,Rajasthan,Sirohi
173822,82.1875,17.3286991119385,120.0,India,Andhra Pradesh,East Godavari
180756,75.625,17.953199386596697,477.0,India,Maharashtra,Solapur
242872,87.1875,24.1977005004883,135.0,India,Jharkhand,Dumka
223713,71.25,22.324399948120107,207.0,India,Gujarat,Surendranagar
267788,78.75,26.6956005096436,131.0,India,Madhya Pradesh,Bhind
251838,83.75,25.1343994140625,68.0,India,Bihar,Kaimur
145753,75.3125,14.5186004638672,581.0,India,Karnataka,Haveri
167775,77.5,16.704200744628903,412.0,India,Telangana,Mahabubnagar
279738,73.75,27.944499969482397,282.0,India,Rajasthan,Bikaner
251731,73.125,25.1343994140625,279.0,India,Rajasthan,Pali
